"CollectionNumber","Year","Paper","OriginalQuestion","Type","Tags","Reason"
"1","2016","全国III卷-理科","3","single_choice","向量","核心考点为向量夹角计算，使用向量坐标运算求角。"
"2","2016","全国III卷-理科","5","single_choice","三角函数","核心考点为三角函数恒等变换，利用正切求余弦和正弦二倍角。"
"3","2016","全国III卷-理科","8","single_choice","三角形、三角函数","核心考点为解三角形，利用正弦定理和余弦定理求角。"
"4","2016","全国III卷-理科","14","fill_blank","三角函数","核心考点为三角函数图象变换，通过辅助角公式求平移量。"
"5","2016","全国III卷-理科","21","solution","三角函数","核心考点为三角函数最值及导数，涉及余弦函数和绝对值。"
"6","2016","全国III卷-文科","3","single_choice","向量","核心考点为向量夹角计算，使用向量坐标运算求角。"
"7","2016","全国III卷-文科","6","single_choice","三角函数","核心考点为三角函数恒等变换，利用正切求余弦二倍角。"
"8","2016","全国III卷-文科","9","single_choice","三角形、三角函数","核心考点为解三角形，利用正弦定理和余弦定理求角。"
"9","2016","全国III卷-文科","14","fill_blank","三角函数","核心考点为三角函数图象变换，通过辅助角公式求平移量。"
"10","2016","全国II卷-理科","3","single_choice","向量","核心考点为向量垂直的坐标运算。"
"11","2016","全国II卷-理科","7","single_choice","三角函数","核心考点为三角函数图象平移与对称轴。"
"12","2016","全国II卷-理科","9","single_choice","三角函数","核心考点为三角函数恒等变换，利用诱导公式和倍角公式求值。"
"13","2016","全国II卷-理科","11","single_choice","三角函数","强规则兜底：题干直接命中专题核心符号或术语。"
"14","2016","全国II卷-理科","13","fill_blank","三角形、三角函数","核心考点为解三角形，利用正弦定理和余弦定理求边。"
"15","2016","全国II卷-文科","3","single_choice","三角函数","核心考点为三角函数图象与性质，根据图象求解析式。"
"16","2016","全国II卷-文科","11","single_choice","三角函数","核心考点为三角函数最值，利用恒等变换求最大值。"
"17","2016","全国II卷-文科","13","fill_blank","向量","核心考点为向量共线的坐标运算。"
"18","2016","全国II卷-文科","15","fill_blank","三角形、三角函数","核心考点为解三角形，利用正弦定理和余弦定理求边。"
"19","2016","全国I卷-理科","12","single_choice","三角函数","核心考点是三角函数的图象与性质，包括零点、对称轴和单调性。"
"20","2016","全国I卷-理科","13","fill_blank","向量","核心考点是向量的模长和数量积运算，利用条件求参数。"
"21","2016","全国I卷-理科","17","solution","三角形、三角函数","核心考点是解三角形，使用正弦定理、余弦定理和三角形面积公式。"
