"Topic","CollectionNumber","Year","Paper","OriginalQuestion","Occurrence","Type","SecondaryTopics","Reason","Id"
"导数","1","2016","全国III卷-理科","15","1","fill_blank","","利用导数求切线方程，核心是导数几何意义。","2016-全国III卷-理科::15::occ1"
"导数","2","2016","全国III卷-文科","16","1","fill_blank","","利用导数求切线方程，核心是导数几何意义。","2016-全国III卷-文科::16::occ1"
"导数","3","2016","全国III卷-文科","21","1","solution","","讨论函数单调性、证明不等式，核心是导数应用。","2016-全国III卷-文科::21::occ1"
"导数","4","2016","全国II卷-理科","16","1","fill_blank","","公切线问题，核心是导数几何意义。","2016-全国II卷-理科::16::occ1"
"导数","5","2016","全国II卷-理科","21","1","solution","","讨论函数单调性、证明不等式、求函数最值及值域，核心是导数应用。","2016-全国II卷-理科::21::occ1"
"导数","6","2016","全国II卷-文科","20","1","solution","","主要任务是求切线方程和利用导数研究不等式恒成立求参数范围，核心是导数应用。","2016-全国II卷-文科::20::occ1"
"导数","7","2016","全国I卷-理科","21","1","solution","","利用导数研究函数零点及证明不等式，核心是导数。","2016-全国I卷-理科::21::occ1"
"导数","8","2016","全国I卷-文科","12","1","single_choice","","利用导数研究函数单调性求参数范围，核心是导数。","2016-全国I卷-文科::12::occ1"
"导数","9","2016","全国I卷-文科","21","1","solution","","利用导数讨论单调性及零点问题，核心是导数。","2016-全国I卷-文科::21::occ1"
"导数","10","2017","全国III卷-理科","11","1","single_choice","","利用导数研究函数零点，核心是导数。","2017-全国III卷-理科::11::occ1"
"导数","11","2017","全国III卷-理科","21","1","solution","","核心是导数应用，求参数及不等式恒成立，主要方法为导数。","2017-全国III卷-理科::21::occ1"
"导数","12","2017","全国III卷-文科","21","1","solution","","核心是函数单调性讨论及不等式证明，主要方法为导数。","2017-全国III卷-文科::21::occ1"
"导数","13","2017","全国II卷-理科","11","1","single_choice","","核心是极值点与极小值计算，主要方法为导数。","2017-全国II卷-理科::11::occ1"
"导数","14","2017","全国II卷-理科","21","1","solution","","核心是导数应用，求参数及证明极值点存在性，主要方法为导数。","2017-全国II卷-理科::21::occ1"
"导数","15","2017","全国II卷-文科","21","1","solution","","核心是函数单调性讨论及恒成立求参数范围，主要方法为导数。","2017-全国II卷-文科::21::occ1"
"导数","16","2017","全国I卷-理科","21","1","solution","","讨论函数单调性及零点问题，核心方法是导数。","2017-全国I卷-理科::21::occ1"
