"Year","PaperId","Question","Issue"
"2016","2016-全国III卷-理科","4","原卷雷达图没有提供, 这里根据解析版文本描述了图片."
"2016","2016-全国III卷-理科","7","原卷程序框图没有提供, 这里根据解析版文本描述了图片."
"2016","2016-全国III卷-理科","9","原卷三视图没有提供, 这里根据解析版文本描述了图片."
"2016","2016-全国III卷-理科","13","原卷约束条件平面区域图没有提供, 这里根据解析版文本描述了图片."
"2016","2016-全国III卷-理科","18","原卷折线图没有提供, 这里根据解析版文本描述了图片."
"2016","2016-全国III卷-理科","19","原卷四棱锥图没有提供, 这里根据解析版文本描述了图片."
"2016","2016-全国III卷-理科","22","原卷圆图没有提供, 这里根据解析版文本描述了图片."
"2016","2016-全国III卷-文科","2","原卷中 ' ' 应为分数形式, 根据解析版修复为 $\dfrac{4}{5}-\dfrac{3}{5}i$."
"2016","2016-全国III卷-文科","3","原卷中向量坐标缺失, 根据解析版补全为 $(\frac{1}{2},\frac{\sqrt{3}}{2})$ 和 $(\frac{\sqrt{3}}{2},\frac{1}{2})$."
"2016","2016-全国III卷-文科","5","原卷选项中概率值缺失, 根据解析版补全为 $\frac{1}{15}$."
"2016","2016-全国III卷-文科","6","原卷选项中分数形式缺失, 根据解析版补全."
"2016","2016-全国III卷-文科","7","原卷中 $a,b,c$ 表达式不完整, 根据解析版补全为 $a=2^{\frac{4}{3}}$, $b=4^{\frac{2}{5}}$, $c=25^{\frac{1}{3}}$."
"2016","2016-全国III卷-文科","9","原卷中角 $B$ 和 $\sin A$ 表达式缺失, 根据解析版补全."
"2016","2016-全国III卷-文科","13","原卷中约束条件不完全, 根据解析版补全."
"2016","2016-全国III卷-文科","14","原卷中函数表达式不完整, 根据解析版补全."
"2016","2016-全国III卷-文科","15","原卷中直线方程系数缺失, 根据解析版补全."
"2016","2016-全国III卷-文科","16","原卷中 $f(x)$ 表达式不完整, 根据解析版补全为 $e^{-x-1}-x$."
"2016","2016-全国III卷-文科","17","原卷中递推式 $an2$ 应为 $a_n^2$, 根据解析版修复."
"2016","2016-全国III卷-文科","23","原卷中参数方程不完整, 根据解析版补全."
"2016","2016-全国III卷-文科","10","题图未能自动匹配：原卷第 2 页，多面体的三视图"
"2016","2016-全国II卷-理科","19","解析中二面角正弦值的常见答案为$\frac{2\sqrt{29}}{29}$，但按照解答中法向量计算结果为$\frac{3\sqrt{41}}{25}$，二者不一致，此处采用常见答案，需进一步核查."
"2016","2016-全国II卷-理科","6","题图未能自动匹配：原卷第 1 页，三视图"
"2016","2016-全国II卷-理科","19","题图未能自动匹配：原卷第 4 页，菱形ABCD及折叠后的几何图形"
