"Topic","CollectionNumber","Year","Paper","OriginalQuestion","Occurrence","Type","SecondaryTopics","Reason","Id"
"立体几何","1","2016","全国III卷-理科","9","1","single_choice","","由三视图求多面体表面积，核心是立体几何。","2016-全国III卷-理科::9::occ1"
"立体几何","2","2016","全国III卷-理科","10","1","single_choice","","球内切于直三棱柱，求体积最大值，核心是立体几何中的几何体与球的关系。","2016-全国III卷-理科::10::occ1"
"立体几何","3","2016","全国III卷-理科","19","1","solution","","线面平行证明及线面角，核心是立体几何。","2016-全国III卷-理科::19::occ1"
"立体几何","4","2016","全国III卷-文科","10","1","single_choice","","由三视图求多面体表面积，核心是立体几何中的三视图与表面积。","2016-全国III卷-文科::10::occ1"
"立体几何","5","2016","全国III卷-文科","11","1","single_choice","","球内切于直三棱柱，求体积最大值，核心是立体几何中的几何体与球的关系。","2016-全国III卷-文科::11::occ1"
"立体几何","6","2016","全国III卷-文科","19","1","solution","","线面平行证明及四面体体积，核心是立体几何。","2016-全国III卷-文科::19::occ1"
"立体几何","7","2016","全国II卷-理科","6","1","single_choice","","由三视图求几何体表面积，核心是立体几何。","2016-全国II卷-理科::6::occ1"
"立体几何","8","2016","全国II卷-理科","14","1","fill_blank","","空间线面位置关系命题判断，核心是立体几何中的空间点线面关系。","2016-全国II卷-理科::14::occ1"
"立体几何","9","2016","全国II卷-理科","19","1","solution","","折叠问题，线面垂直证明及二面角，核心是立体几何。","2016-全国II卷-理科::19::occ1"
"立体几何","10","2016","全国II卷-文科","4","1","single_choice","","正方体外接球表面积，核心是立体几何。","2016-全国II卷-文科::4::occ1"
"立体几何","11","2016","全国II卷-文科","7","1","single_choice","","由三视图求几何体表面积，核心是立体几何。","2016-全国II卷-文科::7::occ1"
"立体几何","12","2016","全国II卷-文科","19","1","solution","","菱形折叠后线面垂直及体积计算，核心是立体几何。","2016-全国II卷-文科::19::occ1"
"立体几何","13","2016","全国I卷-理科","6","1","single_choice","","由三视图求几何体表面积，核心是立体几何。","2016-全国I卷-理科::6::occ1"
"立体几何","14","2016","全国I卷-理科","11","1","single_choice","","正方体中平面与平面平行、线线角，核心是立体几何。","2016-全国I卷-理科::11::occ1"
"立体几何","15","2016","全国I卷-理科","18","1","solution","","面面垂直证明及二面角计算，核心是立体几何。","2016-全国I卷-理科::18::occ1"
"立体几何","16","2016","全国I卷-文科","7","1","single_choice","","由三视图求几何体表面积，核心是立体几何。","2016-全国I卷-文科::7::occ1"
"立体几何","17","2016","全国I卷-文科","11","1","single_choice","","正方体中平面平行及线线角，核心是立体几何。","2016-全国I卷-文科::11::occ1"
"立体几何","18","2016","全国I卷-文科","18","1","solution","","正三棱锥中的点线面关系及体积计算，核心是立体几何。","2016-全国I卷-文科::18::occ1"
"立体几何","19","2017","全国III卷-理科","8","1","single_choice","","圆柱内接于球，求圆柱体积，核心是立体几何。","2017-全国III卷-理科::8::occ1"
"立体几何","20","2017","全国III卷-理科","16","1","fill_blank","","空间中线线角问题，核心是立体几何。","2017-全国III卷-理科::16::occ1"
"立体几何","21","2017","全国III卷-理科","19","1","solution","","核心是面面垂直证明及二面角计算，属于立体几何。","2017-全国III卷-理科::19::occ1"
"立体几何","22","2017","全国III卷-文科","9","1","single_choice","","核心是圆柱与球的关系及体积计算，属于立体几何。","2017-全国III卷-文科::9::occ1"
"立体几何","23","2017","全国III卷-文科","10","1","single_choice","","核心是正方体中线线垂直判断，属于立体几何。","2017-全国III卷-文科::10::occ1"
"立体几何","24","2017","全国III卷-文科","19","1","solution","","核心是线线垂直证明及体积比计算，属于立体几何。","2017-全国III卷-文科::19::occ1"
"立体几何","25","2017","全国II卷-理科","4","1","single_choice","","核心是三视图还原几何体并求体积，属于立体几何。","2017-全国II卷-理科::4::occ1"
"立体几何","26","2017","全国II卷-理科","10","1","single_choice","","核心是异面直线所成角计算，属于立体几何。","2017-全国II卷-理科::10::occ1"
"立体几何","27","2017","全国II卷-理科","19","1","solution","","核心是线面平行证明及二面角计算，属于立体几何。","2017-全国II卷-理科::19::occ1"
"立体几何","28","2017","全国II卷-文科","6","1","single_choice","","核心是三视图还原几何体并求体积，属于立体几何。","2017-全国II卷-文科::6::occ1"
"立体几何","29","2017","全国II卷-文科","15","1","fill_blank","","核心是长方体外接球表面积，属于立体几何。","2017-全国II卷-文科::15::occ1"
"立体几何","30","2017","全国II卷-文科","18","1","solution","","核心是线面平行证明和四棱锥体积计算，属于立体几何。","2017-全国II卷-文科::18::occ1"
"立体几何","31","2017","全国I卷-理科","7","1","single_choice","","三视图求梯形面积和，属于立体几何。","2017-全国I卷-理科::7::occ1"
"立体几何","32","2017","全国I卷-理科","16","1","fill_blank","导数","三棱锥体积最大值，核心是立体几何，用导数求最值。","2017-全国I卷-理科::16::occ1"
"立体几何","33","2017","全国I卷-理科","18","1","solution","","面面垂直证明及二面角计算，核心是立体几何。","2017-全国I卷-理科::18::occ1"
"立体几何","34","2017","全国I卷-文科","6","1","single_choice","","线面平行判定，属于立体几何。","2017-全国I卷-文科::6::occ1"
"立体几何","35","2017","全国I卷-文科","16","1","fill_blank","","三棱锥外接球表面积，核心是立体几何。","2017-全国I卷-文科::16::occ1"
"立体几何","36","2017","全国I卷-文科","18","1","solution","","面面垂直证明及侧面积计算，核心是立体几何。","2017-全国I卷-文科::18::occ1"
"立体几何","37","2018","全国III卷-理科","3","1","single_choice","","三视图，属于立体几何。","2018-全国III卷-理科::3::occ1"
"立体几何","38","2018","全国III卷-理科","10","1","single_choice","","三棱锥体积最大值，核心是立体几何。","2018-全国III卷-理科::10::occ1"
"立体几何","39","2018","全国III卷-理科","19","1","solution","","面面垂直证明及二面角计算，核心是立体几何。","2018-全国III卷-理科::19::occ1"
"立体几何","40","2018","全国III卷-文科","3","1","single_choice","","三视图，属于立体几何。","2018-全国III卷-文科::3::occ1"
"立体几何","41","2018","全国III卷-文科","12","1","single_choice","","三棱锥体积最大值，核心是立体几何。","2018-全国III卷-文科::12::occ1"
"立体几何","42","2018","全国III卷-文科","19","1","solution","","核心是面面垂直证明及线面平行存在性。","2018-全国III卷-文科::19::occ1"
"立体几何","43","2018","全国II卷-理科","9","1","single_choice","","核心是异面直线所成角余弦值。","2018-全国II卷-理科::9::occ1"
"立体几何","44","2018","全国II卷-理科","16","1","fill_blank","","核心是圆锥侧面积计算，涉及线面角。","2018-全国II卷-理科::16::occ1"
"立体几何","45","2018","全国II卷-理科","20","1","solution","","核心是线面垂直证明及二面角、线面角计算。","2018-全国II卷-理科::20::occ1"
"立体几何","46","2018","全国II卷-文科","9","1","single_choice","","核心是异面直线所成角。","2018-全国II卷-文科::9::occ1"
"立体几何","47","2018","全国II卷-文科","16","1","fill_blank","","核心是圆锥体积计算，涉及线面角。","2018-全国II卷-文科::16::occ1"
"立体几何","48","2018","全国II卷-文科","19","1","solution","","核心是线面垂直证明及点到平面距离。","2018-全国II卷-文科::19::occ1"
"立体几何","49","2018","全国I卷-理科","7","1","single_choice","","核心是圆柱侧面最短路径，属于立体几何中的展开图问题。","2018-全国I卷-理科::7::occ1"
"立体几何","50","2018","全国I卷-理科","12","1","single_choice","","核心是正方体截面面积最值。","2018-全国I卷-理科::12::occ1"
"立体几何","51","2018","全国I卷-理科","18","1","solution","","核心是面面垂直证明及线面角计算。","2018-全国I卷-理科::18::occ1"
"立体几何","52","2018","全国I卷-文科","5","1","single_choice","","圆柱表面积计算，属于立体几何。","2018-全国I卷-文科::5::occ1"
"立体几何","53","2018","全国I卷-文科","9","1","single_choice","","圆柱侧面最短路径，属于立体几何。","2018-全国I卷-文科::9::occ1"
"立体几何","54","2018","全国I卷-文科","10","1","single_choice","","长方体中线面角与体积，属于立体几何。","2018-全国I卷-文科::10::occ1"
"立体几何","55","2018","全国I卷-文科","18","1","solution","","面面垂直证明与体积计算，属于立体几何。","2018-全国I卷-文科::18::occ1"
"立体几何","56","2019","全国III卷-理科","8","1","single_choice","","空间点线位置关系，属于立体几何。","2019-全国III卷-理科::8::occ1"
"立体几何","57","2019","全国III卷-理科","16","1","fill_blank","","几何体体积与质量计算，属于立体几何。","2019-全国III卷-理科::16::occ1"
"立体几何","58","2019","全国III卷-理科","19","1","solution","","面面垂直证明与二面角计算，属于立体几何。","2019-全国III卷-理科::19::occ1"
"立体几何","59","2019","全国III卷-文科","8","1","single_choice","","空间点线位置关系，属于立体几何。","2019-全国III卷-文科::8::occ1"
"立体几何","60","2019","全国III卷-文科","16","1","fill_blank","","几何体的体积计算，属于立体几何。","2019-全国III卷-文科::16::occ1"
"立体几何","61","2019","全国III卷-文科","19","1","solution","","面面垂直证明与四边形面积，属于立体几何。","2019-全国III卷-文科::19::occ1"
"立体几何","62","2019","全国II卷-理科","7","1","single_choice","","面面平行的判定与充要条件，属于立体几何。","2019-全国II卷-理科::7::occ1"
"立体几何","63","2019","全国II卷-理科","16","1","fill_blank","","半正多面体面数和棱长，属于立体几何。","2019-全国II卷-理科::16::occ1"
"立体几何","64","2019","全国II卷-理科","17","1","solution","","证明线面垂直和求二面角，使用空间向量，主类立体几何。","2019-全国II卷-理科::17::occ1"
"立体几何","65","2019","全国II卷-文科","7","1","single_choice","","面面平行的充要条件，属于立体几何。","2019-全国II卷-文科::7::occ1"
"立体几何","66","2019","全国II卷-文科","16","1","fill_blank","","半正多面体面数和棱长，属于立体几何。","2019-全国II卷-文科::16::occ1"
"立体几何","67","2019","全国II卷-文科","17","1","solution","","证明线面垂直和求四棱锥体积，属于立体几何。","2019-全国II卷-文科::17::occ1"
"立体几何","68","2019","全国I卷-理科","12","1","single_choice","","三棱锥外接球体积，属于立体几何。","2019-全国I卷-理科::12::occ1"
"立体几何","69","2019","全国I卷-理科","18","1","solution","","证明线面平行和求二面角，使用空间向量，主类立体几何。","2019-全国I卷-理科::18::occ1"
"立体几何","70","2019","全国I卷-文科","16","1","fill_blank","","点到平面距离，属于立体几何。","2019-全国I卷-文科::16::occ1"
"立体几何","71","2019","全国I卷-文科","19","1","solution","","证明线面平行和求点到平面距离，属于立体几何。","2019-全国I卷-文科::19::occ1"
"立体几何","72","2020","全国III卷-理科","8","1","single_choice","","由三视图求表面积。","2020-全国III卷-理科::8::occ1"
"立体几何","73","2020","全国III卷-理科","15","1","fill_blank","","圆锥内切球体积问题，属于立体几何。","2020-全国III卷-理科::15::occ1"
"立体几何","74","2020","全国III卷-理科","19","1","solution","","点共面证明及二面角计算，核心是立体几何。","2020-全国III卷-理科::19::occ1"
"立体几何","75","2020","全国III卷-文科","9","1","single_choice","","由三视图求几何体表面积，属于立体几何。","2020-全国III卷-文科::9::occ1"
"立体几何","76","2020","全国III卷-文科","16","1","fill_blank","","圆锥内切球体积。","2020-全国III卷-文科::16::occ1"
"立体几何","77","2020","全国III卷-文科","19","1","solution","","线线垂直及点共面证明。","2020-全国III卷-文科::19::occ1"
"立体几何","78","2020","全国II卷-理科","7","1","single_choice","","由三视图判断对应点。","2020-全国II卷-理科::7::occ1"
"立体几何","79","2020","全国II卷-理科","10","1","single_choice","","球与等边三角形组合，求球心到平面距离。","2020-全国II卷-理科::10::occ1"
"立体几何","80","2020","全国II卷-理科","20","1","solution","","线面平行、面面垂直证明及线面角计算，核心是立体几何。","2020-全国II卷-理科::20::occ1"
"立体几何","81","2020","全国II卷-文科","11","1","single_choice","","球与等边三角形组合，求距离。","2020-全国II卷-文科::11::occ1"
"立体几何","82","2020","全国II卷-文科","20","1","solution","","核心是空间线面关系证明和体积计算。","2020-全国II卷-文科::20::occ1"
"立体几何","83","2020","全国I卷-理科","3","1","single_choice","","核心是正四棱锥几何计算，求比值。","2020-全国I卷-理科::3::occ1"
"立体几何","84","2020","全国I卷-理科","10","1","single_choice","","核心是球与多面体，求球表面积。","2020-全国I卷-理科::10::occ1"
"立体几何","85","2020","全国I卷-理科","16","1","fill_blank","平面向量与解三角形","核心是立体几何中的折叠问题，求角余弦，涉及解三角形。","2020-全国I卷-理科::16::occ1"
