"Topic","CollectionNumber","Year","Paper","OriginalQuestion","Occurrence","Type","SecondaryTopics","Reason","Id"
"平面解析几何","1","2016","全国III卷-理科","11","1","single_choice","","椭圆离心率求解，核心是解析几何。","2016-全国III卷-理科::11::occ1"
"平面解析几何","2","2016","全国III卷-理科","16","1","fill_blank","","直线与圆相交，求弦长及距离，核心是解析几何。","2016-全国III卷-理科::16::occ1"
"平面解析几何","3","2016","全国III卷-理科","20","1","solution","","抛物线中的几何证明与轨迹方程，核心是解析几何。","2016-全国III卷-理科::20::occ1"
"平面解析几何","4","2016","全国III卷-理科","22","1","solution","","几何证明选讲，圆中角与垂直证明，核心是平面几何，归为解析几何中的几何证明选讲。","2016-全国III卷-理科::22::occ1"
"平面解析几何","5","2016","全国III卷-理科","23","1","solution","","参数方程与极坐标方程互化及距离最值，核心是解析几何。","2016-全国III卷-理科::23::occ1"
"平面解析几何","6","2016","全国III卷-文科","12","1","single_choice","","椭圆离心率求解，核心是解析几何。","2016-全国III卷-文科::12::occ1"
"平面解析几何","7","2016","全国III卷-文科","15","1","fill_blank","","直线与圆相交，求弦长及距离，核心是解析几何。","2016-全国III卷-文科::15::occ1"
"平面解析几何","8","2016","全国III卷-文科","20","1","solution","","抛物线中的几何证明与轨迹方程，核心是解析几何。","2016-全国III卷-文科::20::occ1"
"平面解析几何","9","2016","全国III卷-文科","22","1","solution","","几何证明选讲，圆中角与垂直证明，核心是平面几何，归为解析几何中的几何证明选讲。","2016-全国III卷-文科::22::occ1"
"平面解析几何","10","2016","全国III卷-文科","23","1","solution","","参数方程与极坐标方程互化及距离最值，核心是解析几何。","2016-全国III卷-文科::23::occ1"
"平面解析几何","11","2016","全国II卷-理科","4","1","single_choice","","求圆心到直线的距离，核心是解析几何中的圆与直线。","2016-全国II卷-理科::4::occ1"
"平面解析几何","12","2016","全国II卷-理科","11","1","single_choice","","双曲线离心率求解，核心是解析几何。","2016-全国II卷-理科::11::occ1"
"平面解析几何","13","2016","全国II卷-理科","20","1","solution","","椭圆中三角形面积及参数范围，核心是解析几何。","2016-全国II卷-理科::20::occ1"
"平面解析几何","14","2016","全国II卷-理科","22","1","solution","","几何证明选讲，四点共圆及面积，核心是平面几何，归为解析几何中的几何证明选讲。","2016-全国II卷-理科::22::occ1"
"平面解析几何","15","2016","全国II卷-理科","23","1","solution","","极坐标与参数方程，求直线斜率，核心是解析几何。","2016-全国II卷-理科::23::occ1"
"平面解析几何","16","2016","全国II卷-文科","5","1","single_choice","","抛物线与反比例函数交点，核心是解析几何。","2016-全国II卷-文科::5::occ1"
"平面解析几何","17","2016","全国II卷-文科","6","1","single_choice","","求圆心到直线的距离，核心是解析几何中的圆与直线。","2016-全国II卷-文科::6::occ1"
"平面解析几何","18","2016","全国II卷-文科","21","1","solution","","椭圆与直线相交，求面积和证明斜率范围，核心是解析几何。","2016-全国II卷-文科::21::occ1"
"平面解析几何","19","2016","全国II卷-文科","22","1","solution","","几何证明选讲中的平面几何，四点共圆及面积，核心是平面几何。","2016-全国II卷-文科::22::occ1"
"平面解析几何","20","2016","全国II卷-文科","23","1","solution","","极坐标与参数方程，直线与圆相交求斜率，核心是解析几何。","2016-全国II卷-文科::23::occ1"
"平面解析几何","21","2016","全国I卷-理科","5","1","single_choice","","双曲线方程及焦点距离，核心是解析几何。","2016-全国I卷-理科::5::occ1"
"平面解析几何","22","2016","全国I卷-理科","10","1","single_choice","","抛物线与圆相交，求焦点到准线距离，核心是解析几何。","2016-全国I卷-理科::10::occ1"
"平面解析几何","23","2016","全国I卷-理科","20","1","solution","","圆与椭圆综合，求轨迹方程和面积范围，核心是解析几何。","2016-全国I卷-理科::20::occ1"
"平面解析几何","24","2016","全国I卷-理科","22","1","solution","","几何证明选讲中的平面几何，核心是平面几何。","2016-全国I卷-理科::22::occ1"
"平面解析几何","25","2016","全国I卷-理科","23","1","solution","","参数方程与极坐标方程互化及综合，核心是解析几何。","2016-全国I卷-理科::23::occ1"
"平面解析几何","26","2016","全国I卷-文科","5","1","single_choice","","椭圆离心率计算，核心是解析几何。","2016-全国I卷-文科::5::occ1"
"平面解析几何","27","2016","全国I卷-文科","15","1","fill_blank","","直线与圆相交求弦长，进而求圆面积，核心是解析几何。","2016-全国I卷-文科::15::occ1"
"平面解析几何","28","2016","全国I卷-文科","20","1","solution","","涉及抛物线与直线的位置关系、对称点、长度比等，核心是解析几何。","2016-全国I卷-文科::20::occ1"
"平面解析几何","29","2016","全国I卷-文科","22","1","solution","","几何证明选讲中的平面几何，核心是平面几何。","2016-全国I卷-文科::22::occ1"
"平面解析几何","30","2016","全国I卷-文科","23","1","solution","","参数方程与极坐标方程互化及综合，核心是解析几何。","2016-全国I卷-文科::23::occ1"
"平面解析几何","31","2017","全国III卷-理科","5","1","single_choice","","双曲线方程求解，核心是解析几何。","2017-全国III卷-理科::5::occ1"
"平面解析几何","32","2017","全国III卷-理科","10","1","single_choice","","椭圆离心率计算，核心是解析几何。","2017-全国III卷-理科::10::occ1"
